Phase:, , , , , , , , Train , , , , , , , , , , , , Val
Epoch:, Acc, Negative_Precision, Negative_Recall, Negative_Sensitivity, Negative_Specificity, Negative_NPV, Negative_F1_score, Positive_Precision, Positive_Recall, Positive_Sensitivity, Positive_Specificity, Positive_NPV, Positive_F1_score, Acc, Negative_Precision, Negative_Recall, Negative_Sensitivity, Negative_Specificity, Negative_NPV, Negative_F1_score, Positive_Precision, Positive_Recall, Positive_Sensitivity, Positive_Specificity, Positive_NPV, Positive_F1_score, 
1, 81.61661521190008, 84.11138411138411, 88.4963377854373, 88.4963377854373, 68.76006441223832, 76.18198037466547, 86.24816292252781, 76.18198037466547, 68.76006441223832, 68.76006441223832, 88.4963377854373, 84.11138411138411, 72.28099873042741, 81.9253438113949, 93.47826086956522, 77.71084337349397, 77.71084337349397, 89.83050847457628, 68.24034334763948, 84.86842105263158, 68.24034334763948, 89.83050847457628, 89.83050847457628, 77.71084337349397, 93.47826086956522, 77.56097560975608, 
2, 87.51052483861915, 89.34563758389261, 91.7707884532529, 91.7707884532529, 79.54911433172303, 83.79983036471586, 90.54197662061637, 83.79983036471586, 79.54911433172303, 79.54911433172303, 91.7707884532529, 89.34563758389261, 81.61916563403551, 86.83693516699411, 94.61279461279462, 84.63855421686748, 84.63855421686748, 90.96045197740114, 75.94339622641509, 89.34817170111288, 75.94339622641509, 90.96045197740114, 90.96045197740114, 84.63855421686748, 94.61279461279462, 82.77634961439588, 
3, 87.11759753017121, 88.66279069767442, 91.9862128392934, 91.9862128392934, 78.01932367149759, 83.8961038961039, 90.29393106364982, 83.8961038961039, 78.01932367149759, 78.01932367149759, 91.9862128392934, 88.66279069767442, 80.85106382978722, 87.03339882121807, 96.18055555555556, 83.43373493975903, 83.43373493975903, 93.78531073446328, 75.1131221719457, 89.35483870967741, 75.1131221719457, 93.78531073446328, 93.78531073446328, 83.43373493975903, 96.18055555555556, 83.41708542713567, 
4, 89.84002245298906, 91.45154464663564, 93.10641964670401, 93.10641964670401, 83.73590982286635, 86.66666666666667, 92.27156276686593, 86.66666666666667, 83.73590982286635, 83.73590982286635, 93.10641964670401, 91.45154464663564, 85.17608517608518, 89.78388998035363, 95.16129032258064, 88.855421686747, 88.855421686747, 91.52542372881356, 81.4070351758794, 91.90031152647975, 81.4070351758794, 91.52542372881356, 91.52542372881356, 88.855421686747, 95.16129032258064, 86.17021276595746, 
5, 88.88577041818692, 90.69767441860465, 92.41706161137441, 92.41706161137441, 82.2866344605475, 85.30884808013356, 91.54929577464789, 85.30884808013356, 82.2866344605475, 82.2866344605475, 92.41706161137441, 90.69767441860465, 83.77049180327869, 88.99803536345776, 89.42857142857143, 94.27710843373494, 94.27710843373494, 79.09604519774011, 88.0503144654088, 91.78885630498534, 88.0503144654088, 79.09604519774011, 79.09604519774011, 94.27710843373494, 89.42857142857143, 83.33333333333333, 
6, 89.36289643558798, 90.90143218197136, 92.9771650150797, 92.9771650150797, 82.6086956521739, 86.29100084104289, 91.92758253461129, 86.29100084104289, 82.6086956521739, 82.6086956521739, 92.9771650150797, 90.90143218197136, 84.4097079391197, 88.21218074656188, 86.75675675675676, 96.6867469879518, 96.6867469879518, 72.31638418079096, 92.0863309352518, 91.45299145299145, 92.0863309352518, 72.31638418079096, 72.31638418079096, 96.6867469879518, 86.75675675675676, 81.01265822784809, 
7, 91.13106932360371, 91.82311222361285, 94.82981473502801, 94.82981473502801, 84.21900161030595, 89.70840480274443, 93.30224671470963, 89.70840480274443, 84.21900161030595, 84.21900161030595, 94.82981473502801, 91.82311222361285, 86.87707641196013, 87.22986247544205, 94.35215946843854, 85.5421686746988, 85.5421686746988, 90.3954802259887, 76.92307692307692, 89.73143759873619, 76.92307692307692, 90.3954802259887, 90.3954802259887, 85.5421686746988, 94.35215946843854, 83.11688311688312, 
8, 90.56974459724951, 92.03727234222787, 93.62343817320121, 93.62343817320121, 84.86312399355877, 87.68718801996673, 92.82357966680905, 87.68718801996673, 84.86312399355877, 84.86312399355877, 93.62343817320121, 92.03727234222787, 86.25204582651392, 85.0687622789784, 81.8407960199005, 99.09638554216868, 99.09638554216868, 58.75706214689266, 97.19626168224299, 89.64577656675749, 97.19626168224299, 58.75706214689266, 58.75706214689266, 99.09638554216868, 81.8407960199005, 73.23943661971832, 
9, 91.60819534100477, 92.55050505050505, 94.7436449806118, 94.7436449806118, 85.7487922705314, 89.72198820556024, 93.63423461784119, 89.72198820556024, 85.7487922705314, 85.7487922705314, 94.7436449806118, 92.55050505050505, 87.69040757513379, 90.56974459724951, 92.26190476190476, 93.37349397590361, 93.37349397590361, 85.31073446327683, 87.28323699421965, 92.81437125748502, 87.28323699421965, 85.31073446327683, 85.31073446327683, 93.37349397590361, 92.26190476190476, 86.28571428571426, 
10, 92.2817850126298, 93.20101351351352, 95.0883239982766, 95.0883239982766, 87.03703703703704, 90.4602510460251, 94.13521006611218, 90.4602510460251, 87.03703703703704, 87.03703703703704, 95.0883239982766, 93.20101351351352, 88.71563397620025, 91.55206286836936, 93.9209726443769, 93.07228915662651, 93.07228915662651, 88.70056497175142, 87.22222222222223, 93.4947049924357, 87.22222222222223, 88.70056497175142, 88.70056497175142, 93.07228915662651, 93.9209726443769, 87.95518207282913, 
